"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"-0.1759","Negative","10.762056220551113","interacts with","0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.021","false","interacts with","0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2658","Negative","12.747975827820579","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.002","false","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.1741","Negative","12.668991120103351","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.033","false","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.1893","Negative","16.1753247611081","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.023","false","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2121","Negative","16.035528543327985","interacts with","c0a6013edcd750f053a34cc2e955055c_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.008","false","interacts with","c0a6013edcd750f053a34cc2e955055c_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2376","Negative","14.99722395196434","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.005","false","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2137","Negative","16.366137585838395","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.008","false","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.2374","Negative","18.029154053471423","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.005","false","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"-0.1872","Negative","25.134181203184543","interacts with","850f9456f23d337e109baafd956b54d6_eukaryote (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.02","false","interacts with","850f9456f23d337e109baafd956b54d6_eukaryote (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
"0.2436","Positive","14.80553026519591","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.006","false","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.2305","Positive","8.921978001375248","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.011","false","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.2521","Positive","13.639430014430015","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.006","false","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.4119","Positive","11.257290817073423","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.001","false","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.1869","Positive","14.46632042711807","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.022","false","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
