"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.2041","Positive","12.15664948287216","interacts with","04efe6cf2bccd3ca201367c04c79f8f9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","04efe6cf2bccd3ca201367c04c79f8f9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2127","Negative","13.388172252254215","interacts with","f733c60397f7fc312c9cdce5c6d9aba1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.014","false","interacts with","f733c60397f7fc312c9cdce5c6d9aba1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2263","Negative","12.313240331284355","interacts with","db38587cad3ac0e5373ae4ad85d4d1f6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","db38587cad3ac0e5373ae4ad85d4d1f6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1994","Negative","13.056214322118404","interacts with","8cf55f42a9d1f25bc15720205db748b4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.014","false","interacts with","8cf55f42a9d1f25bc15720205db748b4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2475","Negative","9.4158194557124","interacts with","79cdbdf95f8596a1e17750c68ea553e9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","79cdbdf95f8596a1e17750c68ea553e9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2551","Negative","12.787603479274276","interacts with","dee54165b25b1b80bf40b51130dc690d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","dee54165b25b1b80bf40b51130dc690d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2324","Positive","8.554771920810605","interacts with","623e85cafaa7d77615b1f2c4a51a4e58_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","623e85cafaa7d77615b1f2c4a51a4e58_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1701","Negative","14.596373382425169","interacts with","7aa9b372d4c2cd1b6390bfd19e9a11a6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.013","false","interacts with","7aa9b372d4c2cd1b6390bfd19e9a11a6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1675","Positive","10.97973989124629","interacts with","701694874cb668b3c8b28556d6894c31_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.016","false","interacts with","701694874cb668b3c8b28556d6894c31_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1545","Positive","16.46590269812185","interacts with","e8a00294b8c3eaba89084e969d4b3d09_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.041","false","interacts with","e8a00294b8c3eaba89084e969d4b3d09_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
