Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target
-0.3959,Negative,6.406425575725265,interacts with,0.001,False,interacts with,d4143a84fa86f4939237b7d4e33cfc4d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d4143a84fa86f4939237b7d4e33cfc4d_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0047,0002
-0.2766,Negative,8.795568548213113,interacts with,0.001,False,interacts with,8c4947f4462ed1efbb71564b6c9aa0cb_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,8c4947f4462ed1efbb71564b6c9aa0cb_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0048,0002
0.2041,Positive,12.15664948287216,interacts with,0.004,False,interacts with,04efe6cf2bccd3ca201367c04c79f8f9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,04efe6cf2bccd3ca201367c04c79f8f9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0049,0002
-0.2127,Negative,13.388172252254217,interacts with,0.014,False,interacts with,f733c60397f7fc312c9cdce5c6d9aba1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,f733c60397f7fc312c9cdce5c6d9aba1_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0050,0002
-0.2263,Negative,12.313240331284357,interacts with,0.005,False,interacts with,db38587cad3ac0e5373ae4ad85d4d1f6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,db38587cad3ac0e5373ae4ad85d4d1f6_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0051,0002
-0.1994,Negative,13.056214322118404,interacts with,0.014,False,interacts with,8cf55f42a9d1f25bc15720205db748b4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,8cf55f42a9d1f25bc15720205db748b4_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0052,0002
-0.2475,Negative,9.4158194557124,interacts with,0.005,False,interacts with,79cdbdf95f8596a1e17750c68ea553e9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,79cdbdf95f8596a1e17750c68ea553e9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0053,0002
-0.2551,Negative,12.787603479274276,interacts with,0.004,False,interacts with,dee54165b25b1b80bf40b51130dc690d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,dee54165b25b1b80bf40b51130dc690d_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0054,0002
0.2324,Positive,8.554771920810605,interacts with,0.001,False,interacts with,623e85cafaa7d77615b1f2c4a51a4e58_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,623e85cafaa7d77615b1f2c4a51a4e58_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0055,0002
-0.1701,Negative,14.596373382425169,interacts with,0.013,False,interacts with,7aa9b372d4c2cd1b6390bfd19e9a11a6_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,7aa9b372d4c2cd1b6390bfd19e9a11a6_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0056,0002
0.1675,Positive,10.97973989124629,interacts with,0.016,False,interacts with,701694874cb668b3c8b28556d6894c31_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,701694874cb668b3c8b28556d6894c31_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0057,0002
0.1545,Positive,16.46590269812185,interacts with,0.041,False,interacts with,e8a00294b8c3eaba89084e969d4b3d09_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,e8a00294b8c3eaba89084e969d4b3d09_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0058,0002
0.1492,Positive,14.833094654083595,interacts with,0.042,False,interacts with,e2b4a9650cb0b33c1220554634223c59_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,e2b4a9650cb0b33c1220554634223c59_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0059,0002
0.1592,Positive,17.01285132547583,interacts with,0.019,False,interacts with,a969b7e9ee836c48ee319226ac0aac95_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,a969b7e9ee836c48ee319226ac0aac95_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0060,0002
0.1576,Positive,10.327187685181732,interacts with,0.025,False,interacts with,d54ca076b9cf97723c4a8be8304c05e1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d54ca076b9cf97723c4a8be8304c05e1_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0061,0002
-0.2012,Negative,17.581834298181334,interacts with,0.018,False,interacts with,9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,9fc26e6596f0b0189c6b268cc4d8d67b_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0062,0002
-0.431,Negative,7.222761622154181,interacts with,0.001,False,interacts with,a4830ec2beeeeaef48f6d7f401df4241_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,a4830ec2beeeeaef48f6d7f401df4241_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0063,0002
-0.2604,Negative,11.507888260968604,interacts with,0.004,False,interacts with,12907f7fde00bb40c358a652d79ffcb6_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,12907f7fde00bb40c358a652d79ffcb6_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0064,0002
-0.2036,Negative,16.254450448325578,interacts with,0.02,False,interacts with,89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,89206af4589b68a36b3313e1be7c6448_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0065,0002
-0.2932,Negative,7.57638959705909,interacts with,0.001,False,interacts with,d7a05ca6b0cf4959a1d5af8842fb78fa_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d7a05ca6b0cf4959a1d5af8842fb78fa_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0066,0002
-0.2135,Negative,9.831045069839332,interacts with,0.016,False,interacts with,9561dff2fb67039404a8a5d6c669959c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,9561dff2fb67039404a8a5d6c669959c_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0067,0002
-0.2851,Negative,11.63169765669966,interacts with,0.001,False,interacts with,9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,9a06988e426d7ef4663c568dcd331ca0_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0068,0002
-0.2012,Negative,9.61535468083523,interacts with,0.017,False,interacts with,16010d640ae1f9ef8b46d9778d31166d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,16010d640ae1f9ef8b46d9778d31166d_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0069,0002
-0.2415,Negative,11.930847423502431,interacts with,0.004,False,interacts with,6dec4a7642385d3256e7c0ab2c05366d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,6dec4a7642385d3256e7c0ab2c05366d_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0070,0002
-0.2091,Negative,11.457578585434836,interacts with,0.011,False,interacts with,5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,5743cd46a67f26fc2a0a910a35f1b12f_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0071,0002
-0.3105,Negative,10.137354315266734,interacts with,0.001,False,interacts with,d4ced3fcf757696111ad371371ff4cce_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d4ced3fcf757696111ad371371ff4cce_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0072,0002
-0.2136,Negative,15.092036355647547,interacts with,0.013,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,007761694cceb108c141cce8750b23b5_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0073,0002
-0.299,Negative,8.925942613628923,interacts with,0.002,False,interacts with,25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,25f16fb9e13dc11d9cdb2563441d93ea_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0074,0002
0.1826,Positive,19.58952131101055,interacts with,0.018,False,interacts with,92b9c83064618f3fa4cc6f518011a93f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,92b9c83064618f3fa4cc6f518011a93f_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0075,0002
-0.2597,Negative,10.15485843904908,interacts with,0.003,False,interacts with,45072f0f90af585d84d9e8b285570885_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,45072f0f90af585d84d9e8b285570885_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0076,0002
-0.19,Negative,12.180713337324653,interacts with,0.024,False,interacts with,573058e00737be3571135b4901715a5b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,573058e00737be3571135b4901715a5b_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0077,0002
-0.2015,Negative,10.709985260600094,interacts with,0.015,False,interacts with,01355d320b33ddf29a77579fe487ee60_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,01355d320b33ddf29a77579fe487ee60_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0078,0002
-0.3007,Negative,9.49191961276162,interacts with,0.001,False,interacts with,b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,b5b89cca5a0cb0c01db814cb6f693f9f_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0079,0002
-0.2328,Negative,11.267712349315168,interacts with,0.006,False,interacts with,5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,5f279c746c8e0dc1b9305887f0cbae5a_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0080,0002
-0.2021,Negative,8.805511248722894,interacts with,0.01,False,interacts with,12d11cd730ac7a521601a8c9ef2e3f4c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,12d11cd730ac7a521601a8c9ef2e3f4c_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0081,0002
0.2458,Positive,17.917377371038913,interacts with,0.003,False,interacts with,39d163834966cd25a456abec8a6fb0a4_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,39d163834966cd25a456abec8a6fb0a4_oomycete,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0082,0002
-0.1893,Negative,11.060414958557136,interacts with,0.042,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0083,0002
0.178,Positive,28.15140355197921,interacts with,0.038,False,interacts with,394dace7cd674dc9355c4f64bfada83f_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,394dace7cd674dc9355c4f64bfada83f_eukaryote,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0084,0002
0.2377,Positive,12.250832932205723,interacts with,0.01,False,interacts with,d61cd1d4bdad6e7320c6df304a2c2e5a_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d61cd1d4bdad6e7320c6df304a2c2e5a_eukaryote,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0085,0002
