Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
c81b849ffc02d4b00213cb1425f721fe_fungi	0.9988617859796448		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
8f9f90ebe97aa3a533e0bdf959e31bc6_fungi	0.9999695353230487		Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	Apiosordaria_sp	UNITE	Fungi			
b1db9a6f9dd2e546799e2dc68ee8dee5_fungi	0.9998766258482271		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_colostri	UNITE	Fungi			
7a408184fdd741764a8a6fc38c60e032_fungi	0.9626849947605421		Monoblepharomycota	Monoblepharomycota_cls_Incertae_sedis	Monoblepharomycota_ord_Incertae_sedis	Monoblepharomycota_fam_Incertae_sedis	Monoblepharomycota_gen_Incertae_sedis	Monoblepharomycota_sp	UNITE	Fungi			
9001c27925fd8a4ea535ad7dd9fd6156_fungi	0.9789714063740732		Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp	UNITE	Fungi			
362b74f75bf3b835e0a34e2ea15ed56e_fungi	0.7857928870144083		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae			UNITE	Fungi			
8c35d41208ebab93c131a76b733add1a_fungi	0.997008307489177								UNITE	Fungi			
70d65f3a58d869191be40ced7233ccea_fungi	0.9999999848984517		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
25ee21baa17e610af79274437754b4ff_fungi	0.7797497267704853		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
8fb08a036e25895dead17c65feefe29a_fungi	0.9996615859441846		Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp	UNITE	Fungi			
f52456020153af6757631f98dc26523c_fungi	0.9761439707959574		Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_submersella	UNITE	Fungi			
af1f48a8dad006ab3b3d70ddb0aff901_fungi	0.9991934643102875		Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	Ceratobasidiaceae_sp	UNITE	Fungi			
6539b78bbe854ab8af75fd71a9b5cdcf_fungi	0.9647074925479582								UNITE	Fungi			
7e86e016ef317c658a0e9392460b7cc8_fungi	0.9914930687564639		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
