Node1	Node2	Pvalue	Cor	CorrType
6f919188220b0c82be4439bb63dd189e_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.02	-0.1899	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	5d0942009326032f72c94ca27dc2015d_bacteria	0.004	-0.2113	Negative
41e3305635db95437d26c71fbb3e9886_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.012	0.2006	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.001	0.4343	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.002	0.3198	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.002	0.2859	Positive
943689dc4b1c713707c1520019c4e91d_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.014	0.1998	Positive
d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.001	0.2942	Positive
ad1bc6953fe661253a1301a0dffd0535_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.001	0.265	Positive
30915dab539abea2a31d47ae7d90792e_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.005	-0.206	Negative
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.003	-0.2279	Negative
ce8fe047f6c78ee3610cc355efd59beb_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.004	0.2523	Positive
a4496dfdf6cfe898e6e51cec293e31ef_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.048	-0.1417	Negative
0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	61781934a20bd3368b0737d605f29468_bacteria	0.002	-0.2407	Negative
89206af4589b68a36b3313e1be7c6448_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.021	-0.2047	Negative
e02440bc2cf2fbd51ab6c6a48c297786_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.025	-0.1782	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.028	-0.1821	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.001	-0.2585	Negative
d4ced3fcf757696111ad371371ff4cce_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.018	-0.2018	Negative
c0a6013edcd750f053a34cc2e955055c_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.011	-0.1812	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.004	-0.2423	Negative
4745af0659fd8962bab4c6f134456248_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.049	-0.1528	Negative
45072f0f90af585d84d9e8b285570885_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.034	-0.1726	Negative
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.002	-0.229	Negative
6f919188220b0c82be4439bb63dd189e_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.001	-0.3146	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	61781934a20bd3368b0737d605f29468_bacteria	0.001	-0.2282	Negative
d9e763753ea6a20c2a574df095f60580_eukaryote	61781934a20bd3368b0737d605f29468_bacteria	0.001	0.3064	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.002	0.2802	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.003	0.2795	Positive
d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.031	0.1751	Positive
613010f6345bf00e94847229463fe089_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.002	0.245	Positive
1e2dd0b096801694733a077125a20228_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.025	0.1725	Positive
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.015	-0.1817	Negative
fb613c9c4a86c7589b321ffb051a485c_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	0.026	-0.1821	Negative
