Id,name,BetweennessCentrality,ClosenessCentrality,Degree,NeighborhoodConnectivity,Stress,Radiality,TopologicalCoefficient,kingdom,a_d_vis
0234,c4f812a2f2095a7e9a8060a1c5a98588_bacteria,0.0017214016531149,0.5536480686695279,50,76.74,1964,0.9944780715726876,0.2974418604651163,bacteria,0
0235,47646c283877f7b72d1b9a5199bd45b9_fungi,0.0011735193412231,0.5524625267665952,49,76.40816326530613,1430,0.994451523839864,0.2961556715709539,fungi,0
0236,feaca0edcf1a23c916e8a5a15e251c00_fungi,0.002394399423928,0.5695364238410596,63,76.58730158730158,2320,0.9948231920993948,0.2968500061523317,fungi,0
0238,8785fbcd8cc239f3cbcfc81f423115d0_fungi,0.0012359036214586,0.5341614906832298,33,62.696969696969695,1016,0.9940267601146862,0.2438391699092088,fungi,0
0239,98483eb0a3fb5c44728f605e0b475ac3_bacteria,0.0024023532916408,0.5560344827586207,53,69.73584905660377,1922,0.994531167038335,0.2713457161735555,bacteria,0
0240,da72d280b2793b20ddca69333811f416_fungi,0.000925507109556086,0.5341614906832298,33,66.39393939393939,748,0.9940267601146862,0.2573408503641062,fungi,0
0243,99f992144830d91fd450ab2e67bcead5_fungi,0.0035020538991257,0.5707964601769911,64,69.15625,3008,0.9948497398322184,0.268047480620155,fungi,0
0245,45c7f51c370529e7a0ec2dab53933053_eukaryote,0.0026112817203537,0.5512820512820513,48,62.6875,1816,0.9944249761070404,0.2429748062015503,eukaryote,0
0247,5021bd1879d31f301889c2bfafefb3d2_bacteria,0.0005774669192469413,0.5222672064777327,25,61.76,486,0.9937347350536264,0.2421960784313725,bacteria,0
0249,f7f2a2faaaee104be5ea5a7d5484aacf_fungi,0.0020965381170916,0.5466101694915254,44,63.79545454545455,1542,0.994318785175746,0.2472692036645525,fungi,0
0251,502b0a65026efd878a4e4c9295cc9e01_bacteria,0.003724866971982,0.593103448275862,81,74.72839506172839,4188,0.99530105129022,0.2896449420997224,bacteria,0
0252,55d3ffaf20a40a432de7989e6d6d5a00_fungi,0.0035229838305973,0.5771812080536913,69,69.42028985507247,3248,0.9949824784963364,0.2690708909111335,fungi,0
0257,acc6f82c660def2e2f383dfb4f075933_eukaryote,0.0005673269927606544,0.5212121212121212,22,65.04545454545455,394,0.9937081873208028,0.253095153873364,eukaryote,0
0258,850f9456f23d337e109baafd956b54d6_eukaryote,0.0002493200547206404,0.50390625,15,55.13333333333333,174,0.9932568758628012,0.2232118758434547,eukaryote,0
0259,3d572774b274de40d5f878929bb68ee9_eukaryote,0.0005987804919292035,0.5149700598802396,22,64.31818181818181,404,0.9935489009238612,0.2562477363274176,eukaryote,0
