Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target,a_d_interaction
0.1943,Positive,10.27840076085994,interacts with,0.016,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) fb613c9c4a86c7589b321ffb051a485c_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,fb613c9c4a86c7589b321ffb051a485c_bacteria,0083,0020,0
-0.1829,Negative,13.066753842424715,interacts with,0.025,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,007761694cceb108c141cce8750b23b5_fungi,e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,0073,0153,0
-0.1583,Negative,14.606583268596404,interacts with,0.034,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,0176,0153,0
-0.2802,Negative,16.309806842387292,interacts with,0.002,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,007761694cceb108c141cce8750b23b5_fungi,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0073,0109,0
-0.2333,Negative,13.63032118968112,interacts with,0.002,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0176,0109,0
-0.2234,Negative,13.944416293641329,interacts with,0.007,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0127,0109,0
-0.2365,Negative,14.472878302533497,interacts with,0.004,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0093,0109,0
0.159,Positive,14.8663875948246,interacts with,0.032,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 6f0c774f7177fa246b2e3d023979a44d_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,6f0c774f7177fa246b2e3d023979a44d_bacteria,0093,0135,0
-0.1806,Negative,12.8044479524565,interacts with,0.01,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 59f72dd6eaf2a9d277540becada0fb4c_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,59f72dd6eaf2a9d277540becada0fb4c_bacteria,0176,0110,0
-0.1793,Negative,12.689681735337034,interacts with,0.035,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 59f72dd6eaf2a9d277540becada0fb4c_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,59f72dd6eaf2a9d277540becada0fb4c_bacteria,0083,0110,0
